LGA_CODE_2021,LGA_NAME_2021,Negative_income,Nil_income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial_income_stated,All_incomes_not_stated,Not_applicable,Total
59100,Wickepin,0,0,4,0,3,25,5,14,24,20,19,17,12,18,19,6,3,0,7,4,0,3,17,9,106,335
59170,Williams,0,5,0,0,4,25,11,30,22,21,35,25,23,42,27,18,17,4,11,4,9,9,21,15,133,507
59250,Wiluna,4,0,0,7,3,7,0,6,9,10,10,7,6,20,3,6,3,0,0,4,0,0,5,10,140,273
59310,Wongan-Ballidu,0,4,3,15,11,49,29,40,38,49,32,31,29,55,28,27,12,4,13,5,7,3,43,14,145,685
59320,Woodanilling,0,0,0,0,3,18,3,9,10,17,12,15,10,15,7,9,4,0,0,0,0,0,15,4,60,221
59330,Wyalkatchem,3,6,5,5,7,22,22,26,11,23,16,6,3,22,8,6,4,0,4,0,5,0,5,5,139,358
59340,Wyndham-East Kimberley,9,75,34,62,89,116,100,152,178,249,250,196,187,392,240,220,110,61,157,60,67,28,229,191,924,4366
59350,Yalgoo,0,0,0,3,5,5,3,4,0,3,8,7,7,16,0,9,0,0,0,0,0,0,3,12,35,139
59360,Yilgarn,0,8,3,12,5,32,22,24,30,32,35,17,22,68,29,23,10,0,21,3,0,0,37,20,259,715
59370,York,11,24,16,25,50,153,94,121,117,107,100,67,75,143,82,51,28,8,33,18,3,5,96,42,411,1883
59799,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,158,170
60210,Break O'Day,22,52,41,76,145,431,234,371,302,267,259,125,119,192,93,71,28,19,29,18,14,8,180,86,1690,4850
60410,Brighton,30,52,26,103,188,522,345,573,505,619,585,424,407,759,481,294,175,96,99,66,38,17,350,172,608,7530
60610,Burnie,33,78,45,141,288,715,527,703,646,671,673,479,419,831,433,316,174,83,140,72,54,35,460,197,1059,9274
60810,Central Coast (Tas.),27,74,67,149,273,917,563,903,692,751,685,508,495,854,548,392,219,113,148,92,60,25,550,249,1083,10434
61010,Central Highlands (Tas.),8,13,13,13,41,147,60,97,74,80,87,76,52,89,41,39,15,8,24,8,5,5,60,34,1666,2752
61210,Circular Head,24,20,29,39,86,261,174,263,243,261,248,190,190,329,209,119,50,32,49,18,20,18,185,60,960,4064
