SA3_CODE_2021,SA3_NAME_2021,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total
20604,Melbourne City,279,3849,819,1413,1917,2265,2616,2973,3824,5441,5600,4778,4415,9289,3700,4015,2210,1210,3973,1752,1729,690,2421,1163,31023,103352
20605,Port Phillip,142,762,298,639,1181,1918,1607,1753,2204,3014,3142,3033,2907,6424,2599,3317,1801,949,4015,1933,2289,1026,1684,803,13870,63317
20606,Stonnington - West,89,559,209,389,661,1042,917,1017,1233,1852,2003,1917,1751,3984,1615,1996,1121,667,2744,1204,1555,963,1161,487,8724,39858
20607,Yarra,104,512,234,560,1028,1648,1110,1375,1616,2073,2284,2123,2196,5104,2477,3004,1898,1188,3473,1934,2405,818,1779,499,9041,50478
20701,Boroondara,198,1265,510,743,952,1925,1827,2271,2467,3257,3579,3013,2984,6341,3553,3908,2630,1584,4996,3850,4952,2635,2945,806,9727,72924
20702,Manningham - West,150,943,393,462,680,1789,1304,2099,2059,2397,2422,1868,1894,3744,2478,2324,1468,857,1727,1366,1173,399,1547,597,4429,40571
20703,Whitehorse - West,144,1212,435,676,897,2047,1739,2121,2269,2641,2646,2083,1968,4187,2630,2510,1680,1007,1983,1677,1437,405,1674,584,6151,46792
20801,Bayside,131,575,304,428,643,1491,1179,1403,1568,1911,1932,1562,1565,3347,2032,2422,1577,976,3579,2592,3054,1615,1719,636,4850,43102
20802,Glen Eira,189,1228,456,713,1119,2546,2047,2568,2902,3602,3765,3200,2993,6588,4008,4184,2786,1704,4083,3025,3199,1056,2345,948,8326,69583
20803,Kingston,155,701,331,543,947,2684,1921,2393,2532,3087,3058,2566,2490,5272,3688,3630,2429,1434,2534,1904,1424,328,1716,826,5101,53697
20804,Stonnington - East,46,324,124,160,262,582,499,567,693,840,910,784,810,1662,927,1050,635,387,1344,1041,1284,752,684,252,3103,19746
20901,Banyule,194,654,289,558,893,2329,1722,2352,2424,2937,2998,2554,2504,5226,3652,3501,2446,1374,2454,2017,1709,532,1872,761,5082,53031
20902,Darebin - North,179,694,303,601,1076,2423,1479,2177,2143,2410,2758,2345,2162,4286,2708,2443,1600,865,1268,865,656,136,1502,773,5494,43364
20903,Nillumbik - Kinglake,69,247,141,190,241,676,513,827,899,1153,1267,1064,1092,2447,1873,1999,1357,822,1478,1242,985,333,1207,308,1707,24138
20904,Whittlesea - Wallan,394,1318,470,840,1434,3734,2541,4809,4915,5994,6541,5489,5210,11174,7681,5852,3510,1815,2055,1633,865,219,3617,1420,7428,90961
21001,Keilor,105,405,178,312,466,1294,742,1374,1193,1420,1397,1114,1095,2353,1698,1593,1198,663,1153,825,769,227,846,456,2191,25055
21002,Macedon Ranges,41,140,78,114,144,451,326,481,501,646,714,588,587,1279,934,938,623,332,646,477,368,141,608,180,1290,12610
21003,Moreland - North,146,480,213,386,675,1805,1136,1659,1591,1906,1933,1759,1669,3496,2264,2166,1385,805,1142,732,507,102,1141,621,4091,33809
21004,Sunbury,55,219,61,126,267,748,563,764,890,1071,1196,1021,992,2241,1598,1242,766,397,529,391,265,49,695,245,1405,17803
21005,Tullamarine - Broadmeadows,377,1024,337,718,1160,2756,2068,3717,4107,4732,5191,4203,3903,7738,5131,3760,2282,1196,1398,1016,598,182,2840,1217,6673,68306
21101,Knox,168,830,381,570,1007,2864,1979,3146,3214,3971,4077,3285,3256,6895,5086,4377,2734,1523,2059,1654,1092,248,2356,890,4368,62028
21102,Manningham - East,25,157,83,61,97,317,221,376,329,412,463,388,409,816,582,564,446,319,640,606,516,286,468,130,663,9356
21103,Maroondah,132,627,270,434,819,2126,1734,2249,2488,2926,3053,2443,2260,4877,3535,3104,2113,1188,1790,1333,945,196,1692,713,3721,46775
21104,Whitehorse - East,69,437,174,304,438,1172,874,1175,1301,1461,1560,1136,1183,2465,1766,1717,1122,719,1159,854,677,134,895,344,2075,25206
21105,Yarra Ranges,187,662,339,541,898,2954,2039,2996,3229,3710,3921,3103,3054,6898,5094,4182,2565,1350,1955,1407,887,329,2660,975,5286,61221
21201,Cardinia,151,415,198,307,580,1654,1333,2015,2238,2849,3039,2505,2709,5461,3994,2799,1593,834,1114,772,495,169,1867,759,3736,43595
21202,Casey - North,176,669,259,437,746,2037,1411,2406,2539,3087,3513,2649,2659,5606,3933,3114,1994,1101,1388,1198,766,262,2138,784,3833,48695
21203,Casey - South,223,756,241,449,783,2100,1773,3031,3766,4714,5581,4851,4842,10369,7326,5212,3006,1628,1648,1287,690,164,3375,1033,5128,73977
21204,Dandenong,344,1430,487,925,1640,4145,2631,4339,4562,4865,5049,3951,3686,7279,4753,3522,2256,1312,1391,1068,622,181,2986,1293,7397,72126
21205,Monash,249,1736,674,943,1280,3210,2170,3255,3341,4087,4172,3286,3289,6810,4656,4500,2923,1773,3079,2397,2054,616,2971,986,8675,73111
21301,Brimbank,336,1445,416,949,1708,3850,2257,4262,4128,4474,4843,3697,3434,6610,4490,3452,2109,1324,1329,1086,657,147,2912,1280,7258,68455
21302,Hobsons Bay,126,547,239,419,715,1809,1159,1665,1655,1881,2095,1724,1592,3534,2306,2403,1579,931,1795,1395,1344,383,1267,570,4044,37195
21303,Maribyrnong,110,523,214,446,873,1503,1078,1493,1712,2030,2300,1963,1918,3956,2458,2512,1652,943,1839,1245,1164,259,1283,493,6535,40501
21304,Melton - Bacchus Marsh,240,845,311,540,950,2513,1988,3247,3516,4149,4815,4012,4016,8352,5672,4375,2749,1555,1889,1343,856,210,2809,1124,5930,68010
21305,Wyndham,279,1251,394,698,1236,2701,2597,3982,4691,6133,6935,6124,5776,13131,8601,7144,4376,2468,3471,2321,1537,337,4311,1432,10577,102504
21401,Frankston,194,693,296,597,1153,3255,2454,3065,3437,3921,3950,3243,3091,6380,4396,3394,2062,1068,1479,1035,618,174,2228,1125,5570,58890
21402,Mornington Peninsula,312,911,524,805,1349,4271,3310,4422,4226,4981,4760,3306,3327,6612,4459,3827,2310,1193,2662,1811,1545,779,2956,1746,27188,93602
21501,Grampians,115,286,217,425,743,2321,1384,1938,1968,2092,1993,1387,1322,2481,1428,1005,541,239,490,245,168,129,1101,828,5399,30245
21502,Mildura,110,282,148,310,634,1597,1130,1672,1609,1804,1694,1288,1216,2292,1405,977,538,277,420,227,128,90,1088,838,3596,25371
21503,Murray River - Swan Hill,98,208,102,226,485,1375,778,1216,1281,1233,1206,819,837,1482,870,555,305,157,248,118,91,80,689,592,3223,18275
21601,Campaspe,81,187,148,215,473,1292,852,1280,1147,1267,1193,859,816,1553,935,662,341,188,272,151,97,61,766,564,2510,17897
21602,Moira,76,174,82,183,357,1113,660,1166,1021,950,972,650,592,1177,715,454,242,137,180,108,70,51,565,486,2751,14948
21603,Shepparton,127,317,174,353,705,1712,1293,1864,1873,1995,2041,1462,1465,2651,1683,1200,692,347,539,325,227,120,1144,756,3749,28802
21701,Glenelg - Southern Grampians,63,197,142,261,497,1299,908,1262,1247,1243,1217,852,851,1482,872,628,314,140,298,160,118,79,741,492,3135,18489
21703,Colac - Corangamite,110,194,145,249,461,1287,795,1194,1281,1332,1219,868,872,1564,906,680,335,165,309,154,131,111,741,506,4745,20353
21704,Warrnambool,93,222,138,275,498,1392,1076,1440,1524,1610,1701,1191,1189,2290,1501,1042,603,315,517,319,215,130,928,583,3766,24562
29797,Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49
30101,Capalaba,74,279,130,273,484,1299,959,1499,1462,1778,1801,1417,1459,3117,2323,1967,1302,690,936,770,593,188,1295,392,1704,28192
